Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Белгородская область  ;97.5;87.9;4487.8;1669;1;1261.8;19;1614;46503.7;1192389.5;136819.6;129904;20002.1;43960;105.4
Брянская область;89.2;74.7;3447;1655.4;44044;299.3;9;1221;288434.6;1814353.8;46551.2;121136;16530;43912;109.1
Владимирская область;95.1;90;3616.2;1624.4;2;3486.7;7;3211;1563477.4;1635274;61012.5;103848;18343.4;29;102.6
Воронежская область;95.2;82.1;4488.9;1624.1;43922;6421.8;9;1666;3762552.6;2250970.1;182334.3;139133;19538.1;43909;109.1
Ивановская область;94.3;88.4;3196.7;1766.7;43891;601;10;624;159917;603394.9;28761.5;109822;16998.1;44003;94.4
Калужская область;94.7;81.5;4728.5;1774.9;43892;10397.7;42;2094;4713218;1655104.6;95969.9;133102;23709.6;41;109.8
Костромская область ;91.4;83.1;3896.8;1793.3;43922;78.5;5;1302;8640.1;576375.1;21169.5;95792;16895.5;43906;105.6
Курская область;89.8;71.9;3415.3;1693.9;1;2369;3;1571;1167607.3;1385320;66639.2;117703;18690;43849;104.4
Липецкая область;96.8;86.9;4194.5;1580.5;0.8;143;1;2511;837626.9;7862633.4;93327.1;134049;19416.6;43994;100.6
Московская область;96.7;91.1;;;43984;84645.4;68;14310;36293487.7;5669198.5;516871.7;179869;32302.5;44064;105.1
Орловская область;90.5;79.9;3470.7;1838.1;43892;379.8;;1424;18850.2;187378.4;40429;105501;16888;44062;103.8
Рязанская область;98.5;84.8;3605;1686.5;43832;1202.4;;1032;971829.9;4304483.6;66705;112985;19098.4;43852;104.9
Смоленская область;95.2;89.5;4216;1901.7;43862;855.5;;1302;520429;783473.2;56434.8;123289;17941.6;44093;104.5
Тамбовская область ;84.6;78.9;3990.5;1611.2;43983;953.2;;2005;189226.6;980122.3;82920.6;122576;16866.3;43878;108.6
Тверская область;90.2;77.9;3938.8;1907.7;43922;4085.7;2;2746;1726597.9;1681176.3;80463.7;120844;20246.1;23;101.1
Тульская область;89.7;81.7;3948.6;1651.3;44075;2041.5;13;3540;4480693.3;2241828.5;84058.6;124580;20121.3;33.8;102.9
Ярославская область   ;94.1;89.7;4206.9;1767.7;43891;4201.1;18;2675;5424720.1;5681004.3;81018.7;114121;20397;44099;104.7
г. Москва;100;98.4;11693.6;2394.8;43893;245646.1;173;17948;88908364.4;42162966.6;1220096.6;305395;48830.4;44094;101.7
Республика Карелия;98.7;97.2;3826.1;1874.7;43952;765.6;6;572;294058.1;124910.2;33947.3;122886;24795.8;18;104.5
Республика Коми;91.3;84.7;6463.6;1886.7;43831;1827.1;3;491;40281.9;2614198.5;232221.8;155776;33971.4;44022;103.5
Архангельская область;97.2;91.4;4116.6;1925.1;0.9;1106.8;20;1367;596654.2;7641963;162514.1;135625;28531.3;44090;101
в том числе Ненецкий авт.округ;99.5;90.9;480.5;;0.9;52.1;1;25;;1457401.8;59023.6;145446;57794.6;43955;92.9
Архангельская область без авт. округа;;;4249.5;;0.9;1054.7;19;1342;;;;;26374;23;104.5
Вологодская область;95.2;84.5;3189.1;1871.5;43831;311.7;4;2196;117567.8;544368.8;151022.7;104966;22648.9;43851;104.4
Калининградская область;93.3;87.6;4609.7;1948.5;3;901.8;3;1050;3057.9;354489.2;71757.1;114980;21526;23;102.7
Ленинградская область;97;94.3;;;43891;6189.9;11;1178;720787.7;10287308.8;330721;132297;26309.9;43873;105.7
Мурманская область;96.1;88.6;5123.7;2239.5;43862;2383.6;;1154;104428.5;381124.9;72449.4;157480;36187.9;44000;101.1
Новгородская область;98.2;96.4;3926.5;1984.1;44075;1391.5;13;1786;828453.2;4579947.3;44999.9;122628;21297.4;43860;110.5
Псковская область;93.4;88.6;3558.3;1731.5;43983;173.2;;1140;88776.9;258533.4;33663.7;115337;18202.9;43884;99.9
г.СанктПетербург;98.1;96.9;10111.9;2429.4;43833;84951.5;259;6539;31228000.7;13106253.6;352116.1;169270;32930.2;44104;103.1
Республика Адыгея;98.3;92.2;1491.4;1226.5;0.5;161.5;;141;;579627.6;16903.5;129374;16715.2;43905;106
Республика Калмыкия;94.1;87.1;2140.6;1632.5;43922;76.8;;15;;3468;13825.3;51125;15040.7;44089;100.6
Республика Крым;;;;;;;;;;;;;;;
Краснодарский край;96.1;89.3;5264.8;2017.7;43952;4817.6;16;2261;1027134.4;9925044.4;798475.6;153806;21409.2;43844;102.5
Астраханская область;90.4;85.2;4771.9;1856.9;43831;572.9;9;554;117777;321324.6;81664.7;131101;19522.1;43904;110.9
Волгоградская область;84.8;77;4423.5;1718.8;43862;3669.5;;2055;78397.5;3012326.2;136153.8;107858;18583.7;43878;102.3
Ростовская область;90.2;83.8;4552.7;1644.7;43891;9319.7;12;2822;2714667.9;7932571.5;207934.6;145419;19189.4;43910;102
г. Севастополь;;;;;;;;;;;;;;;
Республика Дагестан;98.9;97.3;2824.3;1168.3;0.4;872.3;7;437;14850;;152733.3;135860;13659.6;44085;104.2
Республика Ингушетия;98.4;95.2;3242.5;1202.1;0.8;40.6;;;;;14777.3;33021;18301.5;44030;114.6
КабардиноБалкарская Республика;99.1;94.9;3862.8;1305.8;0.6;552.7;1;307;160000;198297.3;25652.2;93771;16314.4;19;106
КарачаевоЧеркесская Республика;85.2;80.6;4000.3;1297.3;43831;368.3;;76;;206192.4;18076.2;70974;15510.8;43941;103.8
Республика Северная Осетия  Алания;90.3;84.5;4967.3;1357;44044;347;;19;17636.8;55516.6;21851.1;108101;15896.7;43967;101.7
Чеченская Республика;100;64.7;3711.5;1205.2;0.4;139.4;;194;;;54400.3;69225;17384.9;43970;101.7
Ставропольский край;99.9;97.3;4443.4;1537.9;43922;1127.8;;819;162752.1;1300098.2;115318.3;142205;18446.9;44004;100.2
Республика Башкортостан;98.4;96.4;3569;1615.8;43862;7014.9;6;6372;1769786.6;6739677.6;233683.2;156044;20264.7;44060;102.5
Республика Марий Эл;95;86.5;3133.5;1611.9;44013;136.6;;812;136737.9;251604.5;31656.5;81095;16023;44096;110
Республика Мордовия;90.6;85.3;4138.3;1556.7;43922;671.9;6;2638;1618306.4;1758253.5;49824.7;70185;15186.6;21;102.9
Республика Татарстан;98.6;95.7;4999.8;1689.7;43831;10447.5;46;5151;4420888.5;21770470.7;470751.5;170670;23233.7;44093;105.9
Удмуртская Республика;94.3;89.1;3759.6;1571.3;44014;843.1;16;4621;213753.1;2261174.8;64220.8;103388;18240.7;44064;102.5
Чувашская Республика;95.2;91.4;2707;1767.5;43831;1206.3;6;2597;1263230.3;3105255.1;65254.6;87331;17187.4;43918;107.2
