Регион;Удельный вес организаций, использовавших персональные компьютеры;Удельный вес организаций, использовавших Интернет ;Объем оказанных населению услуг связи ;Число абонентских устройств подвижной радиотелефонной (сотовой) связи ;Удельный вес занятых в секторе ИКТ ;Внутренние затраты на научные исследования и разработки;Разработанные передовые производственные технологии;Используемые передовые производственные технологии;Исследование и разработка новых продуктов, услуг и методов их производства (передачи), новых производственных процессов;Разработка и приобретение программ для ЭВМ и баз данных, связанных с инновационной деятельностью;Инвестиции в основной капитал;Оборот розничной торговли ;Среднемесячная номинальная ЗП;Доля продукции высокотехнологичных и наукоемких отраслей в валовом региональном продукте;Индекс производительности труда
Белгородская область  ;97.2;85.8;3935.7;1422;0.9;891.7;10;1215;29410.1;2170945;96313;93535;15938.4;43931;110
Брянская область;88.8;69.4;3121.6;1480.7;44075;202.7;5;1021;125064.6;568903.1;41989;86538;12325.6;44001;105.3
Владимирская область;97.2;87.9;3416.9;1501.9;44013;2478.9;;2972;232640.3;957009.5;50087.5;70284;14484.4;43949;106.4
Воронежская область;98;80.1;3879;1325.8;43891;5286.9;21;2293;807433.6;1912543.1;125825.5;92305;14337.3;44004;101.7
Ивановская область;91;78.5;3177.5;1614.6;1;423;;512;20045;1978080.1;29960.8;66734;13123.3;43968;100.6
Калужская область;93.4;73.3;4370.4;1570.5;43923;7300.9;26;4858;2633448.1;2345025.1;74489.3;97675;17681.6;33.1;111.4
Костромская область ;93.7;76.4;3564.2;1774.7;43922;56.3;2;1623;3289.6;507694.5;15100.4;73413;13525.8;16;105
Курская область;89.4;56.1;3150.9;1550.1;0.9;2128.9;;1525;252595.8;168659.2;46093;86431;14006.5;43938;102
Липецкая область;95.2;78.9;3845.2;1475.7;0.6;66.6;;2212;581713.5;24401560.2;101599.8;100252;15429.8;43901;104
Московская область;95.8;86.4;;;44045;64980.6;66;11686;7077429.4;2596479.8;394284.2;143914;25417.4;24;107.2
Орловская область;86;71.4;3099.2;1648.5;44044;272.5;5;1377;60745.3;418840.3;21450.9;79574;13174.2;44031;104.9
Рязанская область;99.2;84;3226.2;1608.7;43983;1169.6;;528;350002.2;1716633.9;40621.9;83877;15288.9;43852;103.9
Смоленская область;97.9;74.9;4025;1733.3;0.8;787.4;;1076;865236.7;402134.2;48833.2;99218;14513;43909;106.3
Тамбовская область ;77.1;65.4;3470.3;1384.7;44075;805.4;;2086;68052.2;351959.1;53980.2;89808;12623.9;43907;96.7
Тверская область;100;82.5;3679.9;1716.7;1;2924.7;3;2488;912311.7;484625.1;82617.8;93371;16155.3;44094;104.7
Тульская область;87.4;71.9;3696.5;1491.3;44013;1565.8;10;8185;49204.2;2937465.3;71526.5;97163;15640.7;34.3;100
